"gene_id","lr","df","pvalue","adj_pvalue"
"FBgn0031089",2.3385665361991,1,0.12620564173195,0.609290447625654
"FBgn0000084",0.256808264406573,1,0.612321448415498,0.97130330855799
"FBgn0031091",0.882663340923159,1,0.347473248064142,0.856638970225924
"FBgn0052230",0.673928679199889,1,0.411685234701524,0.892969216256862
"FBgn0264492",1.1473241954518,2,0.563458216771183,0.958274945557066
"FBgn0027588",0.113615014706738,1,0.736065440474347,0.999210074482202
"FBgn0040372",0.156289698172259,1,0.692595732233035,0.996515974745657
"FBgn0000316",1.66066287778085,1,0.197513847202298,0.734822779475561
"FBgn0024989",0.0168240011698799,1,0.896797953435162,0.999210074482202
"FBgn0052817",0.909968932292031,1,0.340122662028812,0.853013309573331
"FBgn0029524",17.7265713816014,2,0.000141489409132728,0.00591999890095923
"FBgn0024983",0.988348776712883,2,0.61007438394444,0.971258715420835
"FBgn0266572",0.998985645128414,1,0.317556076593035,0.837128872552854
"FBgn0052816",7.02625179702318,3,0.0710657287764391,0.453908758799955
"FBgn0261446",3.53940512763802,1,0.0599269500664373,0.411023496930286
"FBgn0040373",0.00292600310785929,1,0.956861434113924,0.999210074482202
"FBgn0003575",0.280624672408521,1,0.596292076376399,0.966046702861204
"FBgn0025638",1.05120795842959,1,0.305229047158433,0.822180543497785
"FBgn0025637",11.7271089035203,1,0.000615962078084065,0.0191213174132118
"FBgn0021764",5.96014492770519,1,0.01463283826589,0.173135262596822
"FBgn0040382",0.0635773380126921,2,0.968711279166206,0.999210074482202
"FBgn0002579",7.71436730632558,2,0.0211274179490379,0.218619554189507
"FBgn0025633",6.03922459711248,4,0.196238044539064,0.734822779475561
"FBgn0053082",1.2287901497491,1,0.267642454209871,0.79431676616231
"FBgn0003638",0.139221055560483,1,0.709056619587876,0.999210074482202
"FBgn0024362",0.0960224630198354,1,0.756656079336846,0.999210074482202
"FBgn0024987",10.5066798914631,2,0.00523002120860165,0.0867762714323733
"FBgn0023169",0.000882949290826218,1,0.97629477748524,0.999210074482202
"FBgn0024985",0.372841655462253,1,0.541459382345684,0.952969564146958
"FBgn0024360",1.17371894690314,1,0.278638412676134,0.8006349482795
"FBgn0025641",0.0823977161226139,1,0.77407401776208,0.999210074482202
"FBgn0261444",2.19048829286476,3,0.533824310120635,0.951936284289483
"FBgn0026872",0.428344583744774,1,0.512802355675273,0.950628279502422
"FBgn0013720",1.96850222702778,1,0.160606931893974,0.682537839615544
"FBgn0025381",0.00900968025598559,1,0.92437889833404,0.999210074482202
"FBgn0283451",18.1676409854263,3,0.000406183280650778,0.0146581391404849
"FBgn0001189",0.197156313788582,1,0.657026045374661,0.983046257131762
"FBgn0003517",0.583499582018703,1,0.444943856546722,0.90850392753277
"FBgn0026086",1.33166852703471,3,0.721627159132361,0.999210074482202
"FBgn0029594",0.365172244401037,1,0.545647641423934,0.955178634375203
"FBgn0023519",0.116231904856249,1,0.733157781240788,0.999210074482202
"FBgn0023522",2.52023879280023,2,0.283620161251863,0.805916737730441
"FBgn0025630",0.053682872862737,1,0.816774412547465,0.999210074482202
"FBgn0025628",9.54763393454778,1,0.00200207324236704,0.0469917516318184
"FBgn0025631",1.01218128801406,2,0.60284772449379,0.968316846448715
"FBgn0003964",1.39150158657867,1,0.238151681238019,0.775586324440074
"FBgn0023511",0.672638953349633,1,0.412133058056525,0.892969216256862
"FBgn0052803",0.109459871549916,1,0.740759904148007,0.999210074482202
"FBgn0026088",0.834458317738608,1,0.360986519884729,0.867028355164072
"FBgn0023517",0.579062119315495,1,0.446680175185145,0.909425716332521
"FBgn0023516",1.20937600534035,1,0.271455737654122,0.795674493639821
"FBgn0023515",2.17660570850512,2,0.336787586576087,0.846956239063732
"FBgn0028969",0.312545712477004,1,0.576122219701743,0.958274945557066
"FBgn0026090",1.80796412592099,1,0.178752645212721,0.709089824005223
"FBgn0040395",0.138478105164722,2,0.933103592591025,0.999210074482202
